plate	well	cell.line	drug1	drug1.conc	dip_rate	dip_fit_std_err
HTS001_BR1-2	E6	BR1	neratinib	6.20125e-08	0.0239470417356172	0.00104782027023433
HTS001_BR1-2	E7	BR1	neratinib	1.55e-08	0.0279899607505431	0.000752440360554348
HTS001_BR1-2	E8	BR1	neratinib	3.72e-09	0.0237499044399406	0.000744655836875388
HTS001_BR1-2	E9	BR1	neratinib	1.246e-09	0.0275142744077408	0.000933498313966291
HTS001_BR1-2	E10	BR1	neratinib	3.0525e-10	0.0237198621006655	0.000642751770916197
HTS001_BR1-2	E11	BR1	neratinib	7.47625e-11	0.0285185311492755	0.000942868147166441
HTS001_BR1-2	E12	BR1	neratinib	1.86875e-11	0.0302846337173404	0.000880872399728702
HTS001_BR1-2	E13	BR1	trametinib	3.96875e-07	0.00695336572271053	0.00119981104271528
HTS001_BR1-2	E14	BR1	trametinib	9.92125e-08	0.0118795777855275	0.00102163089507196
HTS001_BR1-2	E15	BR1	trametinib	2.48e-08	0.0239095223147857	0.00111834231771842
HTS001_BR1-2	E16	BR1	trametinib	6.20125e-09	0.0316696485046492	0.00104898654116523
HTS001_BR1-2	E17	BR1	trametinib	1.55e-09	0.028427267857067	0.000784477653604484
HTS001_BR1-2	E18	BR1	trametinib	3.72e-10	0.0293057849185835	0.000987355762221217
HTS001_BR1-2	E19	BR1	trametinib	1.246e-10	0.0292323181980986	0.00107172969739882
HTS001_BR1-2	E20	BR1	trametinib	3.0525e-11	0.0253909081059015	0.000732552946556792
HTS001_BR1-2	E21	BR1	trametinib	7.47625e-12	0.0262719992277485	0.000661446559898027
HTS001_BR1-2	E22	BR1	trametinib	1.86875e-12	0.0255574000520794	0.000972678698367387
HTS001_BR1-2	E23	BR1			0.0355824141677683	0.00103950762754436
HTS001_BR1-2	F2	BR1			0.0344307152136189	0.00130992473653885
HTS001_BR1-2	F3	BR1	seliciclib	3.96875e-06	0.0231646183492496	0.000967515811397702
HTS001_BR1-2	F4	BR1	seliciclib	9.92125e-07	0.0253523805356476	0.000871953030921911
HTS001_BR1-2	F5	BR1	seliciclib	2.48e-07	0.0260234210259309	0.000909213143988132
HTS001_BR1-2	F6	BR1	seliciclib	6.20125e-08	0.0302187068542693	0.000781885436305189
HTS001_BR1-2	F7	BR1	seliciclib	1.55e-08	0.0275262082379398	0.000728667156532953
HTS001_BR1-2	F8	BR1	seliciclib	3.72e-09	0.0283139288948194	0.000667254448476924
HTS001_BR1-2	F9	BR1	seliciclib	1.246e-09	0.0270828905493595	0.00102377579273712
HTS001_BR1-2	F10	BR1	seliciclib	3.0525e-10	0.0302541979358221	0.0010087699660497
HTS001_BR1-2	F11	BR1	seliciclib	7.47625e-11	0.0333505387247283	0.000910990414821694
HTS001_BR1-2	F12	BR1	seliciclib	1.86875e-11	0.0296970271572936	0.000696459545710403
HTS001_BR1-2	F13	BR1	dactolisib	3.96875e-06	0.0117770081455201	0.000395187484501044
HTS001_BR1-2	F14	BR1	dactolisib	9.92125e-07	0.0119371225324318	0.000371211115352859
HTS001_BR1-2	F15	BR1	dactolisib	2.48e-07	0.0188006252531981	0.000432705395940906
HTS001_BR1-2	F16	BR1	dactolisib	6.20125e-08	0.0278310566582988	0.000761115649392295
HTS001_BR1-2	F17	BR1	dactolisib	1.55e-08	0.0300988611295955	0.000899280310378238
HTS001_BR1-2	F18	BR1	dactolisib	3.72e-09	0.0271043807016014	0.00071491794239037
HTS001_BR1-2	F19	BR1	dactolisib	1.246e-09	0.0308671420421224	0.00109182985668458
HTS001_BR1-2	F20	BR1	dactolisib	3.0525e-10	0.0247976438516392	0.000756277333930267
HTS001_BR1-2	F21	BR1	dactolisib	7.47625e-11	0.0294462248239308	0.00084928516164784
HTS001_BR1-2	F22	BR1	dactolisib	1.86875e-11	0.0327454879574547	0.00084653530003686
HTS001_BR1-2	F23	BR1			0.036349421359956	0.00116439798977465
HTS001_BR1-2	G2	BR1			0.0323965926578747	0.000937798809142823
HTS001_BR1-2	G3	BR1	temsirolimus	1.984375e-06	0.0211478597070615	0.000629823269421434
HTS001_BR1-2	G4	BR1	temsirolimus	4.960625e-07	0.0223897467500193	0.000530015952567113
HTS001_BR1-2	G5	BR1	temsirolimus	1.24e-07	0.022775761715764	0.000594000381254183
HTS001_BR1-2	G6	BR1	temsirolimus	3.100625e-08	0.0227597948554744	0.000589577984455482
HTS001_BR1-2	G7	BR1	temsirolimus	7.75e-09	0.0228304465062571	0.000558670034826158
HTS001_BR1-2	G8	BR1	temsirolimus	1.86e-09	0.0243631816401987	0.000845213764982399
HTS001_BR1-2	G9	BR1	temsirolimus	6.23e-10	0.0306092759330183	0.000749674977348122
HTS001_BR1-2	G10	BR1	temsirolimus	1.52625e-10	0.0281686693114669	0.000696967793794037
HTS001_BR1-2	G11	BR1	temsirolimus	3.738125e-11	0.0301986607075805	0.000652656412645799
HTS001_BR1-2	G12	BR1	temsirolimus	9.34375e-12	0.0292742907202783	0.000861153898277981
HTS001_BR1-2	G13	BR1	paclitaxel	3.96875e-06	-0.00681252754535863	0.00079045838177791
HTS001_BR1-2	G14	BR1	paclitaxel	9.92125e-07	-0.00564782634862525	0.00152978271207268
HTS001_BR1-2	G15	BR1	paclitaxel	2.48e-07	-0.0255863308001297	0.0022195623350899
HTS001_BR1-2	G16	BR1	paclitaxel	6.20125e-08	0.0290934891417156	0.000726045149449203
HTS001_BR1-2	G17	BR1	paclitaxel	1.55e-08	-0.00784410062286048	0.0010418040986126
HTS001_BR1-2	G18	BR1	paclitaxel	3.72e-09	-0.00518581314392655	0.000742353025242382
HTS001_BR1-2	G19	BR1	paclitaxel	1.246e-09	0.0156384149989856	0.000616449130374772
HTS001_BR1-2	G20	BR1	paclitaxel	3.0525e-10	0.00442836823504865	0.0011029031461679
HTS001_BR1-2	G21	BR1	paclitaxel	7.47625e-11	0.0262199514629872	0.000945818507940445
HTS001_BR1-2	G22	BR1	paclitaxel	1.86875e-11	0.0273603167610918	0.000709173991649944
HTS001_BR1-2	G23	BR1			0.0325187444468041	0.00102673330332632
HTS001_BR1-2	H2	BR1			0.0342709071609225	0.001215311965558
HTS001_BR1-2	H3	BR1	panobinostat	3.96875e-07	-0.0024065674172875	0.000564967707506797
HTS001_BR1-2	H4	BR1	panobinostat	9.92125e-08	-0.0107871845640847	0.0015247643675361
HTS001_BR1-2	H5	BR1	panobinostat	2.48e-08	-0.0048142777856723	0.000596681831358161
HTS001_BR1-2	H6	BR1	panobinostat	6.20125e-09	0.0153429560886061	0.000504550624016167
HTS001_BR1-2	H7	BR1	panobinostat	1.55e-09	0.0203200270947734	0.000795994991467101
HTS001_BR1-2	H8	BR1	panobinostat	3.72e-10	0.0258304992215276	0.000755945231689013
HTS001_BR1-2	H9	BR1	panobinostat	1.246e-10	0.0245020428146617	0.000918477098952705
HTS001_BR1-2	H10	BR1	panobinostat	3.0525e-11	0.025470219332818	0.000726698317486381
HTS001_BR1-2	H11	BR1	panobinostat	7.47625e-12	0.0266992001201953	0.000642403585557227
HTS001_BR1-2	H12	BR1	panobinostat	1.86875e-12	0.0284054269821595	0.000743833228137925
HTS001_BR1-2	H13	BR1	bortezomib	3.96875e-06	-0.00820001567288238	0.00137669577133372
HTS001_BR1-2	H14	BR1	bortezomib	9.92125e-07	-0.00424966600157947	0.000692688679184391
HTS001_BR1-2	H15	BR1	bortezomib	2.48e-07	-0.00759071161489698	0.00072118446339869
HTS001_BR1-2	H16	BR1	bortezomib	6.20125e-08	-0.00908769179495304	0.00123788398845134
HTS001_BR1-2	H17	BR1	bortezomib	1.55e-08	0.0113415419232624	0.000472322570968
HTS001_BR1-2	H18	BR1	bortezomib	3.72e-09	0.0298189961457122	0.00108550390512406
HTS001_BR1-2	H19	BR1	bortezomib	1.246e-09	0.0247867265477007	0.000747503773705131
HTS001_BR1-2	H20	BR1	bortezomib	3.0525e-10	0.035264514139437	0.00095786530643645
HTS001_BR1-2	H21	BR1	bortezomib	7.47625e-11	0.0290622747728414	0.000907244870391825
HTS001_BR1-2	H22	BR1	bortezomib	1.86875e-11	0.0287911104478721	0.000718800499827175
HTS001_BR1-2	H23	BR1			0.0338092049260226	0.000782476511101902
HTS001_BR1-2	I2	BR1			0.027381819300512	0.000794879911944564
HTS001_BR1-2	I3	BR1	erlotinib	3.96875e-06	0.025851553264011	0.00105592953783878
HTS001_BR1-2	I4	BR1	erlotinib	9.92125e-07	0.0224912261892371	0.000833189163036654
HTS001_BR1-2	I5	BR1	erlotinib	2.48e-07	0.0333528954053243	0.000814872600642212
HTS001_BR1-2	I6	BR1	erlotinib	6.20125e-08	0.0266070674388362	0.000943910593499291
HTS001_BR1-2	I7	BR1	erlotinib	1.55e-08	0.0303800380664135	0.000715222108833841
HTS001_BR1-2	I8	BR1	erlotinib	3.72e-09	0.0300062258957973	0.000796645698960077
HTS001_BR1-2	I9	BR1	erlotinib	1.246e-09	0.0322582802308255	0.00069363496588585
HTS001_BR1-2	I10	BR1	erlotinib	3.0525e-10	0.0260914694426042	0.00084284264854807
HTS001_BR1-2	I11	BR1	erlotinib	7.47625e-11	0.0250154429977388	0.000947209078657521
HTS001_BR1-2	I12	BR1	erlotinib	1.86875e-11	0.0285330126742305	0.00118238942530824
HTS001_BR1-2	I13	BR1	gefitinib	3.96875e-06	0.0230719367984827	0.000761350903692033
HTS001_BR1-2	I14	BR1	gefitinib	9.92125e-07	0.0267478224304622	0.000930019932669161
HTS001_BR1-2	I15	BR1	gefitinib	2.48e-07	0.0285278953389113	0.000786620524933123
HTS001_BR1-2	I16	BR1	gefitinib	6.20125e-08	0.0276354605828659	0.00094730895988735
HTS001_BR1-2	I17	BR1	gefitinib	1.55e-08	0.0254286218727173	0.000652251551206991
HTS001_BR1-2	I18	BR1	gefitinib	3.72e-09	0.0285436970943465	0.000775430231486169
HTS001_BR1-2	I19	BR1	gefitinib	1.246e-09	0.0291316997193715	0.00084476223560857
HTS001_BR1-2	I20	BR1	gefitinib	3.0525e-10	0.0300635874527968	0.000903716069558903
HTS001_BR1-2	I21	BR1	gefitinib	7.47625e-11	0.0286949482700623	0.000859407561561483
HTS001_BR1-2	I22	BR1	gefitinib	1.86875e-11	0.0295321563276082	0.00102172055158094
HTS001_BR1-2	I23	BR1			0.0351869241673595	0.00101464589304057
HTS001_BR1-2	J2	BR1			0.0312046375264966	0.00121361535781016
HTS001_BR1-2	J3	BR1	osimertinib	3.96875e-06	-0.014870192091772	0.00868116304819672
HTS001_BR1-2	J4	BR1	osimertinib	9.92125e-07	0.0150979984445375	0.000472039567955856
HTS001_BR1-2	J5	BR1	osimertinib	2.48e-07	0.0134377302222054	0.000593176401085301
HTS001_BR1-2	J6	BR1	osimertinib	6.20125e-08	0.0137082924679768	0.000954154360822436
HTS001_BR1-2	J7	BR1	osimertinib	1.55e-08	0.0118699751832221	0.000932310852949656
HTS001_BR1-2	J8	BR1	osimertinib	3.72e-09	0.0193082137460817	0.000854505964181327
HTS001_BR1-2	J9	BR1	osimertinib	1.246e-09	0.0270489232948447	0.00103574383294566
HTS001_BR1-2	J10	BR1	osimertinib	3.0525e-10	0.0295869339488906	0.000789486240192693
HTS001_BR1-2	J11	BR1	osimertinib	7.47625e-11	0.0292617714390772	0.000770156461862785
HTS001_BR1-2	J12	BR1	osimertinib	1.86875e-11	0.0248185049133112	0.000710167122146408
HTS001_BR1-2	J13	BR1	rociletinib	3.96875e-06	-0.0196016996482858	0.00335226277358891
HTS001_BR1-2	J14	BR1	rociletinib	9.92125e-07	0.0080518821198872	0.00105536585999903
HTS001_BR1-2	J15	BR1	rociletinib	2.48e-07	0.0120339200492907	0.00124550555152019
HTS001_BR1-2	J16	BR1	rociletinib	6.20125e-08	0.0159308341145713	0.00134513979069382
HTS001_BR1-2	J17	BR1	rociletinib	1.55e-08	0.0249394276434005	0.000892289431158782
HTS001_BR1-2	J18	BR1	rociletinib	3.72e-09	0.0300642895776602	0.000915266896600611
HTS001_BR1-2	J19	BR1	rociletinib	1.246e-09	0.0281287473752141	0.000929186980653324
HTS001_BR1-2	J20	BR1	rociletinib	3.0525e-10	0.0271738740297913	0.000915779581793836
HTS001_BR1-2	J21	BR1	rociletinib	7.47625e-11	0.0315426311208188	0.000777164463120572
HTS001_BR1-2	J22	BR1	rociletinib	1.86875e-11	0.0278195539467994	0.00100124566046573
HTS001_BR1-2	J23	BR1			0.0351184452364573	0.00111178198874826
HTS001_BR1-2	K2	BR1			0.0305445030900212	0.0008837957020052
HTS001_BR1-2	K3	BR1	lapatinib	3.96875e-06	0.0227539121834252	0.000626476474746121
HTS001_BR1-2	K4	BR1	lapatinib	9.92125e-07	0.0254970965408969	0.000829634536788494
HTS001_BR1-2	K5	BR1	lapatinib	2.48e-07	0.0293414088403465	0.000816804716493554
HTS001_BR1-2	K6	BR1	lapatinib	6.20125e-08	0.0286259362699476	0.000942177147166574
HTS001_BR1-2	K7	BR1	lapatinib	1.55e-08	0.0243287536987112	0.000785815581041057
HTS001_BR1-2	K8	BR1	lapatinib	3.72e-09	0.024622283726566	0.000946602820507771
HTS001_BR1-2	K9	BR1	lapatinib	1.246e-09	0.0282744076746153	0.00113745310387097
HTS001_BR1-2	K10	BR1	lapatinib	3.0525e-10	0.0258033655112006	0.000901137994163712
HTS001_BR1-2	K11	BR1	lapatinib	7.47625e-11	0.0290703161728868	0.000933588342481506
HTS001_BR1-2	K12	BR1	lapatinib	1.86875e-11	0.0269292680195545	0.000635996086575232
HTS001_BR1-2	K13	BR1	afatinib	3.96875e-06	-0.0165771474296757	0.00144651592811929
HTS001_BR1-2	K14	BR1	afatinib	9.92125e-07	0.0104024354061625	0.0012259183012012
HTS001_BR1-2	K15	BR1	afatinib	2.48e-07	0.0108222886808943	0.000752041449636999
HTS001_BR1-2	K16	BR1	afatinib	6.20125e-08	0.0271473350900201	0.00108413480538579
HTS001_BR1-2	K17	BR1	afatinib	1.55e-08	0.0303903519515711	0.00098292841908717
HTS001_BR1-2	K18	BR1	afatinib	3.72e-09	0.0279306665021433	0.000788297373865168
HTS001_BR1-2	K19	BR1	afatinib	1.246e-09	0.0261997006213796	0.000719525172035514
HTS001_BR1-2	K20	BR1	afatinib	3.0525e-10	0.027730891196444	0.000635365801647331
HTS001_BR1-2	K21	BR1	afatinib	7.47625e-11	0.0296776847897518	0.000934835102038471
HTS001_BR1-2	K22	BR1	afatinib	1.86875e-11	0.0280679074964146	0.000787060279847526
HTS001_BR1-2	K23	BR1			0.0343014741925782	0.000900606442714487
HTS001_BR1-2	L2	BR1			0.0351954342439268	0.00134300146878752
HTS001_BR1-2	L3	BR1	neratinib	3.96875e-06	0.0251889977114361	0.000868504833495158
HTS001_BR1-2	L4	BR1	neratinib	9.92125e-07	0.0237221322148757	0.00112680375699441
HTS001_BR1-2	L5	BR1	neratinib	2.48e-07	0.0241249716107439	0.000804242037090691
HTS001_BR1-2	L6	BR1	neratinib	6.20125e-08	0.0260860541802585	0.00071785176450321
HTS001_BR1-2	L7	BR1	neratinib	1.55e-08	0.0212627216469529	0.000878219754966725
HTS001_BR1-2	L8	BR1	neratinib	3.72e-09	0.0248562591131566	0.000871904833214674
HTS001_BR1-2	L9	BR1	neratinib	1.246e-09	0.0254574506758264	0.000932727618273003
HTS001_BR1-2	L10	BR1	neratinib	3.0525e-10	0.0255259521253954	0.000785956974272392
HTS001_BR1-2	L11	BR1	neratinib	7.47625e-11	0.0268144778670055	0.000784871162138354
HTS001_BR1-2	L12	BR1	neratinib	1.86875e-11	0.0291800945066695	0.00104258564781199
HTS001_BR1-2	L13	BR1	trametinib	3.96875e-07	0.0104938355899895	0.00138844273673421
HTS001_BR1-2	L14	BR1	trametinib	9.92125e-08	0.0164491322752643	0.00105622187426295
HTS001_BR1-2	L15	BR1	trametinib	2.48e-08	0.0225012032426207	0.000751524714099223
HTS001_BR1-2	L16	BR1	trametinib	6.20125e-09	0.0274186536931524	0.000883604278416867
HTS001_BR1-2	L17	BR1	trametinib	1.55e-09	0.0292393174651262	0.000850293603532207
HTS001_BR1-2	L18	BR1	trametinib	3.72e-10	0.036640182086968	0.000851514447939571
HTS001_BR1-2	L19	BR1	trametinib	1.246e-10	0.0340147880057691	0.000635347778721776
HTS001_BR1-2	L20	BR1	trametinib	3.0525e-11	0.0303525865304162	0.00106652956647079
HTS001_BR1-2	L21	BR1	trametinib	7.47625e-12	0.0305501863137076	0.000924809123800024
HTS001_BR1-2	L22	BR1	trametinib	1.86875e-12	0.032395645081805	0.000780663415158961
HTS001_BR1-2	L23	BR1			0.0311554065079606	0.00122664925052694
HTS001_BR1-2	M2	BR1			0.0348127238928484	0.00101372101374188
HTS001_BR1-2	M3	BR1	seliciclib	3.96875e-06	0.0251757333644259	0.00112897003478814
HTS001_BR1-2	M4	BR1	seliciclib	9.92125e-07	0.0258504142679116	0.000976630872843551
HTS001_BR1-2	M5	BR1	seliciclib	2.48e-07	0.0307175415566193	0.000855317625124295
HTS001_BR1-2	M6	BR1	seliciclib	6.20125e-08	0.0270044176600119	0.00102489543411762
HTS001_BR1-2	M7	BR1	seliciclib	1.55e-08	0.0291385231025197	0.00084701794350549
HTS001_BR1-2	M8	BR1	seliciclib	3.72e-09	0.0291794884653329	0.00091967154404682
HTS001_BR1-2	M9	BR1	seliciclib	1.246e-09	0.0253676475965752	0.000780711329875064
HTS001_BR1-2	M10	BR1	seliciclib	3.0525e-10	0.0274828251636485	0.00107170914227366
HTS001_BR1-2	M11	BR1	seliciclib	7.47625e-11	0.0267994683414994	0.000891802951068202
HTS001_BR1-2	M12	BR1	seliciclib	1.86875e-11	0.0271144169075895	0.00105386367937489
HTS001_BR1-2	M13	BR1	dactolisib	3.96875e-06	0.0113770725409582	0.000331234004915997
HTS001_BR1-2	M14	BR1	dactolisib	9.92125e-07	0.0106426335069501	0.000487500418329345
HTS001_BR1-2	M15	BR1	dactolisib	2.48e-07	0.0189105947621936	0.000386223044369608
HTS001_BR1-2	M16	BR1	dactolisib	6.20125e-08	0.0271755507085847	0.000613322678347322
HTS001_BR1-2	M17	BR1	dactolisib	1.55e-08	0.0304505286763044	0.000763173266602109
HTS001_BR1-2	M18	BR1	dactolisib	3.72e-09	0.0270169880840141	0.000800610974978429
HTS001_BR1-2	M19	BR1	dactolisib	1.246e-09	0.0269138728377869	0.000776037823331451
HTS001_BR1-2	M20	BR1	dactolisib	3.0525e-10	0.026446119103334	0.000726029273032644
HTS001_BR1-2	M21	BR1	dactolisib	7.47625e-11	0.0257893330219447	0.00079139701267625
HTS001_BR1-2	M22	BR1	dactolisib	1.86875e-11	0.0282746322907895	0.00124515603605992
HTS001_BR1-2	M23	BR1			0.0303400485862223	0.00100904336514024
HTS001_BR1-2	N2	BR1			0.0319660975492407	0.0013058831590529
HTS001_BR1-2	N3	BR1	temsirolimus	1.984375e-06	0.0195027144014516	0.000609787993598629
HTS001_BR1-2	N4	BR1	temsirolimus	4.960625e-07	0.0208439568531776	0.000404880928890603
HTS001_BR1-2	N5	BR1	temsirolimus	1.24e-07	0.0211956146072602	0.000622768929497999
HTS001_BR1-2	N6	BR1	temsirolimus	3.100625e-08	0.0235228022880441	0.000490799264771313
HTS001_BR1-2	N7	BR1	temsirolimus	7.75e-09	0.022711953809981	0.000618035383226326
HTS001_BR1-2	N8	BR1	temsirolimus	1.86e-09	0.0240763741071136	0.000599303093324454
HTS001_BR1-2	N9	BR1	temsirolimus	6.23e-10	0.0252494210628227	0.000930457698149384
HTS001_BR1-2	N10	BR1	temsirolimus	1.52625e-10	0.0252891146852911	0.000659782586296343
HTS001_BR1-2	N11	BR1	temsirolimus	3.738125e-11	0.030365998674943	0.000729415927538374
HTS001_BR1-2	N12	BR1	temsirolimus	9.34375e-12	0.0305752805058854	0.000890534705477476
HTS001_BR1-2	N13	BR1	paclitaxel	3.96875e-06	-0.012822254619884	0.00120403022521039
HTS001_BR1-2	N14	BR1	paclitaxel	9.92125e-07	-0.00713196625533356	0.00067820585148614
HTS001_BR1-2	N15	BR1	paclitaxel	2.48e-07	-0.00504860876285857	0.00107742788764164
HTS001_BR1-2	N16	BR1	paclitaxel	6.20125e-08	0.0250719080333089	0.000852973683148189
HTS001_BR1-2	N17	BR1	paclitaxel	1.55e-08	-0.00999292439540986	0.000750047000045793
HTS001_BR1-2	N18	BR1	paclitaxel	3.72e-09	-0.00277539533723385	0.000718361913643663
HTS001_BR1-2	N19	BR1	paclitaxel	1.246e-09	0.015145831152625	0.0005026613546363
HTS001_BR1-2	N20	BR1	paclitaxel	3.0525e-10	-0.00472272601697463	0.000753246111636499
HTS001_BR1-2	N21	BR1	paclitaxel	7.47625e-11	0.0289291745030617	0.0010432578481614
HTS001_BR1-2	N22	BR1	paclitaxel	1.86875e-11	0.0272420674106273	0.000909745042571752
HTS001_BR1-2	N23	BR1			0.0349383829252111	0.00104605967175165
HTS001_BR1-2	O2	BR1			0.0289400526395002	0.00077046246865433
HTS001_BR1-2	O3	BR1	panobinostat	3.96875e-07	-0.00661866481826549	0.000743814305532012
